"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2869","Открытие формы списка справочника ""Рассылки отчетов"" (РассылкиОтчетов)","","Thu Feb 20 14:45:47 MSK 2025","passed","Thu Feb 20 14:45:50 MSK 2025","","","",""
"","2104","Открытие формы списка регистра сведений ""История реквизитов"" (CRM_ИсторияРеквизитовПартнеров)","","Thu Feb 20 15:35:30 MSK 2025","passed","Thu Feb 20 15:35:32 MSK 2025","","","",""
"","2403","Открытие формы документа ""Ордер на отражение порчи товаров"" (ОрдерНаОтражениеПорчиТоваров)","","Thu Feb 20 15:02:22 MSK 2025","passed","Thu Feb 20 15:02:24 MSK 2025","","","",""
"","2470","Открытие формы списка регистра сведений ""Каталог акционных товаров"" (ЯРВЕТ_КаталогАкционныхТоваров)","","Thu Feb 20 15:41:18 MSK 2025","passed","Thu Feb 20 15:41:21 MSK 2025","","","",""
"","2190","Открытие формы списка документа ""Приходный кассовый ордер"" (ПриходныйКассовыйОрдер)","","Thu Feb 20 14:55:44 MSK 2025","passed","Thu Feb 20 14:55:46 MSK 2025","","","",""
"","2640","Открытие формы документа ""Прочее оприходование товаров"" (ПрочееОприходованиеТоваров)","","Thu Feb 20 15:03:54 MSK 2025","passed","Thu Feb 20 15:03:56 MSK 2025","","","",""
"","2283","Открытие формы списка регистра сведений ""Оборотные средства"" (ЯРВЕТ_ОборотныеСредства)","","Thu Feb 20 15:41:13 MSK 2025","passed","Thu Feb 20 15:41:15 MSK 2025","","","",""
"","2468","Открытие формы списка справочника ""Роли участников проектов"" (CRM_РолиУчастниковПроектов)","","Thu Feb 20 14:38:22 MSK 2025","passed","Thu Feb 20 14:38:25 MSK 2025","","","",""
"","2093","Открытие формы списка регистра сведений ""Связи между партнерами"" (СвязиМеждуПартнерами)","","Thu Feb 20 15:40:27 MSK 2025","passed","Thu Feb 20 15:40:29 MSK 2025","","","",""
"","2062","Открытие формы списка документа ""Установка блокировок ячеек"" (УстановкаБлокировокЯчеек)","","Thu Feb 20 14:57:51 MSK 2025","passed","Thu Feb 20 14:57:53 MSK 2025","","","",""
"","1424","Открытие формы регистра сведений ""График траншей"" (ГрафикТраншейКредитовИДепозитов)","","Thu Feb 20 15:43:38 MSK 2025","passed","Thu Feb 20 15:43:39 MSK 2025","","","",""
"","2530","Открытие формы списка справочника ""ИТ-сервисы"" (ИТСервисы)","","Thu Feb 20 14:49:36 MSK 2025","passed","Thu Feb 20 14:49:38 MSK 2025","","","",""
"","1785","Открытие формы регистра сведений ""Сборка контроль документов"" (СборкаКонтрольДокументов)","","Thu Feb 20 15:46:01 MSK 2025","passed","Thu Feb 20 15:46:03 MSK 2025","","","",""
"","2232","Открытие формы списка регистра сведений ""Параметры подключения"" (НастройкиТранспортаОбмена)","","Thu Feb 20 15:41:49 MSK 2025","passed","Thu Feb 20 15:41:51 MSK 2025","","","",""
"","2597","Открытие формы журнала документов ""Прочие операции по учету НДС"" (КорректировкиНДС)","","Thu Feb 20 15:31:40 MSK 2025","passed","Thu Feb 20 15:31:42 MSK 2025","","","",""
"","2503","Открытие формы документа ""Активация промокодов"" (АктивацияПромокодов)","","Thu Feb 20 14:59:56 MSK 2025","passed","Thu Feb 20 14:59:59 MSK 2025","","","",""
"","2654","Открытие формы списка справочника ""Сделки с клиентами"" (СделкиСКлиентами)","","Thu Feb 20 14:45:44 MSK 2025","passed","Thu Feb 20 14:45:47 MSK 2025","","","",""
"","2586","Открытие формы документа ""Ордер на отражение излишков товаров"" (ОрдерНаОтражениеИзлишковТоваров)","","Thu Feb 20 15:02:16 MSK 2025","passed","Thu Feb 20 15:02:19 MSK 2025","","","",""
"","2850","Открытие формы списка документа ""Заказ клиента"" (ЗаказКлиента)","","Thu Feb 20 14:52:49 MSK 2025","passed","Thu Feb 20 14:52:52 MSK 2025","","","",""
"","2056","Открытие формы списка документа ""Лимиты расхода денежных средств"" (ЛимитыРасходаДенежныхСредств)","","Thu Feb 20 14:54:07 MSK 2025","passed","Thu Feb 20 14:54:09 MSK 2025","","","",""
"","3472","Открытие формы документа ""Поступление товаров и услуг"" (ПоступлениеТоваровУслуг)","","Thu Feb 20 15:03:41 MSK 2025","passed","Thu Feb 20 15:03:44 MSK 2025","","","",""
"","46714","Печать элемента документа ""Заявка на возврат товаров от клиента"" (ЗаявкаНаВозвратТоваровОтКлиента)","","Thu Feb 20 15:12:45 MSK 2025","passed","Thu Feb 20 15:13:32 MSK 2025","","","",""
